"id","feat_sampled","feat_sampled_wgt","feat_selected","feat_selected_wgt","imp","imp_wgt"
"1119_at",18,17.316593622085,18,17.316593622085,1,1
"11226_at",7,6.79501635071748,7,6.79501635071748,1,1
"11240_at",14,13.5501670236862,14,13.5501670236862,1,1
"11259_at",18,17.5977933925945,18,17.5977933925945,1,1
"112858_at",4,3.80419791509532,4,3.80419791509532,1,1
"112_at",15,14.5886754088569,15,14.5886754088569,1,1
"113230_at",13,12.6143524441258,13,12.6143524441258,1,1
"11335_at",17,16.4114184169618,17,16.4114184169618,1,1
"116092_at",16,15.503493558853,16,15.503493558853,1,1
"1179_at",16,15.5206103929719,16,15.5206103929719,1,1
"118980_at",1,0.975472668280999,1,0.975472668280999,1,1
"122416_at",14,13.3636260571346,14,13.3636260571346,1,1
"122509_at",7,6.75596386526206,7,6.75596386526206,1,1
"123591_at",25,24.2076026825089,25,24.2076026825089,1,1
"126969_at",10,9.74486687649639,10,9.74486687649639,1,1
"1277_at",14,13.56741744444,14,13.56741744444,1,1
"1278_at",11,10.658214547482,11,10.658214547482,1,1
"1281_at",14,13.462643135837,14,13.462643135837,1,1
"1284_at",20,19.3421645415081,20,19.3421645415081,1,1
"1289_at",19,18.4437509002654,19,18.4437509002654,1,1
"1292_at",12,11.5068918913669,12,11.5068918913669,1,1
"1303_at",16,15.6178407664947,16,15.6178407664947,1,1
"130_at",9,8.6371753067559,9,8.6371753067559,1,1
"133522_at",16,15.4250752838342,16,15.4250752838342,1,1
"1368_at",19,18.4808425921708,19,18.4808425921708,1,1
"140775_at",9,8.53059289370006,9,8.53059289370006,1,1
"140823_at",14,13.5394931652605,14,13.5394931652605,1,1
"142891_at",16,15.4938189755554,16,15.4938189755554,1,1
"145748_at",14,13.6451192653992,14,13.6451192653992,1,1
"146691_at",11,10.7219362976184,11,10.7219362976184,1,1
"147525_at",17,16.575995935442,17,16.575995935442,1,1
"148418_at",12,11.5506191532088,12,11.5506191532088,1,1
"1490_at",16,15.3857485744205,16,15.3857485744205,1,1
"150000_at",20,19.3514348027552,20,19.3514348027552,1,1
"150244_at",18,17.4904023888417,18,17.4904023888417,1,1
"150368_at",6,5.88261503125037,6,5.88261503125037,1,1
"150538_at",20,19.3700352746422,20,19.3700352746422,1,1
"150696_at",16,15.6151710784005,16,15.6151710784005,1,1
"151011_at",5,4.76669813848179,5,4.76669813848179,1,1
"1513_at",19,18.3270715409393,19,18.3270715409393,1,1
"1521_at",1,0.978908196485422,1,0.978908196485422,1,1
"154743_at",18,17.3688056667355,18,17.3688056667355,1,1
"158431_at",1,0.980339103458887,1,0.980339103458887,1,1
"158471_at",1,0.98319424955444,1,0.98319424955444,1,1
"1634_at",13,12.6727132164542,13,12.6727132164542,1,1
"165_at",17,16.5463517638016,17,16.5463517638016,1,1
"171586_at",17,16.5467690116298,17,16.5467690116298,1,1
"1797_at",4,3.84413028399,4,3.84413028399,1,1
"1808_at",19,18.4164826194002,19,18.4164826194002,1,1
"1831_at",19,18.5940428582706,19,18.5940428582706,1,1
"1843_at",9,8.7278791769101,9,8.7278791769101,1,1
"1848_at",25,24.1980319489228,25,24.1980319489228,1,1
"1942_at",5,4.79410496440416,5,4.79410496440416,1,1
"197257_at",14,13.6538244206217,14,13.6538244206217,1,1
"200058_at",13,12.5523538347599,13,12.5523538347599,1,1
"2014_at",11,10.5257786377696,11,10.5257786377696,1,1
"202051_at",22,21.2378097302715,22,21.2378097302715,1,1
"203_at",14,13.6265842618657,14,13.6265842618657,1,1
"2040_at",16,15.5709793322639,16,15.5709793322639,1,1
"2053_at",12,11.6489967522393,12,11.6489967522393,1,1
"2110_at",13,12.4140938275075,13,12.4140938275075,1,1
"216_at",13,12.6403704524053,13,12.6403704524053,1,1
"218_at",15,14.4184966859983,15,14.4184966859983,1,1
"219654_at",13,12.609736043308,13,12.609736043308,1,1
"2207_at",15,14.5801566318056,15,14.5801566318056,1,1
"220963_at",13,12.4580452222006,13,12.4580452222006,1,1
"221393_at",4,3.77696207514463,4,3.77696207514463,1,1
"222584_at",7,6.76850421628274,7,6.76850421628274,1,1
"224_at",7,6.79532353897026,7,6.79532353897026,1,1
"2261_at",14,13.6025959512166,14,13.6025959512166,1,1
"22834_at",1,0.981624801615124,1,0.981624801615124,1,1
"22918_at",16,15.5713634826444,16,15.5713634826444,1,1
"22979_at",12,11.592068355154,12,11.592068355154,1,1
"23140_at",22,21.4035643904992,22,21.4035643904992,1,1
"2316_at",10,9.67356286426123,10,9.67356286426123,1,1
"23179_at",12,11.5134068734378,12,11.5134068734378,1,1
"2317_at",15,14.4750757709909,15,14.4750757709909,1,1
"23253_at",11,10.5949693411931,11,10.5949693411931,1,1
"23271_at",14,13.5263736193184,14,13.5263736193184,1,1
"2330_at",13,12.7018811847298,13,12.7018811847298,1,1
"23327_at",24,23.1381368668049,24,23.1381368668049,1,1
"2335_at",17,16.4833271569621,17,16.4833271569621,1,1
"2339_at",10,9.54334341699626,10,9.54334341699626,1,1
"23417_at",12,11.5694398576138,12,11.5694398576138,1,1
"23480_at",11,10.6310389054192,11,10.6310389054192,1,1
"23491_at",17,16.4555849684842,17,16.4555849684842,1,1
"23551_at",17,16.5472207211376,17,16.5472207211376,1,1
"23584_at",10,9.57924013114634,10,9.57924013114634,1,1
"23729_at",17,16.5035617415224,17,16.5035617415224,1,1
